CEchoService::initialize(int aArgc, const char *aArgv[])
3/1/2013 10:32:04 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:05 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:05 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:05 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:05 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:05 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:06 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:06 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:06 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:06 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:06 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:07 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:07 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:07 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:07 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:07 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:08 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:08 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:08 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:08 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:08 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:09 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:09 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:09 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:09 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:09 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:10 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:10 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:10 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:10 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:11 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:11 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:11 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:11 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:11 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:12 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:12 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:12 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:12 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:12 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:13 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:13 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:13 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:13 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:13 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:14 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:14 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:14 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:14 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:14 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:15 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:15 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:15 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:15 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:16 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:16 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:16 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:16 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:17 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:17 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:17 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:17 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:17 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:18 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:18 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:18 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:18 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:18 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:19 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:19 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:19 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:19 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:19 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:20 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:20 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:20 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:20 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:21 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:21 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:21 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:21 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:22 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:22 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:22 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:22 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:32:22 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
